UTC,latitude,longitude,CTEratio
1.3896e+06,41.82723236,-18.55269814,0.07076776
1.3932e+06,41.80071640,-18.57308769,0.06938156
1.3968e+06,41.77420044,-18.59347534,0.06799264
1.4004e+06,41.74768066,-18.61383629,0.06660604
1.404e+06,41.72109222,-18.63392448,0.06526427
1.4076e+06,41.69440079,-18.65372276,0.06397153
1.4112e+06,41.66769028,-18.67351723,0.06267899
1.4148e+06,41.64098740,-18.69330788,0.06138307
1.4184e+06,41.61428452,-18.71308327,0.06008739
1.422e+06,41.58753204,-18.73277092,0.05880487
1.4256e+06,41.56064987,-18.75199318,0.05760329
1.4292e+06,41.53377151,-18.77121162,0.05639842
1.4328e+06,41.50685883,-18.79042244,0.05519470
1.4364e+06,41.47996140,-18.80962181,0.05398869
1.44e+06,41.45305634,-18.82882118,0.05278091
1.4436e+06,41.42605972,-18.84778786,0.05161328
1.4472e+06,41.39895248,-18.86639786,0.05050700
1.4508e+06,41.37136459,-18.88332367,0.04969893
1.4544e+06,41.34329605,-18.89854813,0.04919143
1.458e+06,41.31521988,-18.91377258,0.04868192
1.4616e+06,41.28716660,-18.92899704,0.04816825
1.4652e+06,41.25909805,-18.94421959,0.04765387
1.4688e+06,41.23103333,-18.95943642,0.04713799
1.4724e+06,41.20297241,-18.97464371,0.04662162
1.476e+06,41.17489624,-18.98984718,0.04610383
1.4796e+06,41.14686203,-19.00505066,0.04558127
1.4832e+06,41.11878204,-19.02023888,0.04506284
1.4868e+06,41.09072495,-19.03540421,0.04454346
1.4904e+06,41.06266785,-19.05056953,0.04402249
1.494e+06,41.03461456,-19.06573486,0.04349797
1.4976e+06,41.00656891,-19.08090019,0.04297189
1.5012e+06,40.97850800,-19.09605026,0.04244646
1.5048e+06,40.95044327,-19.11119652,0.04191952
1.5084e+06,40.92238617,-19.12633705,0.04139081
1.512e+06,40.89433289,-19.14148331,0.04085921
1.5156e+06,40.86627960,-19.15662766,0.04032535
1.5192e+06,40.83821106,-19.17175102,0.03979375
1.5228e+06,40.81014252,-19.18685913,0.03926248
1.5264e+06,40.78207779,-19.20196152,0.03872987
1.53e+06,40.75402832,-19.21706390,0.03819376
